Episode 424/2000 | Total reward: -200.0
Episode 425/2000 | Total reward: -200.0
Episode 426/2000 | Total reward: -200.0
Episode 427/2000 | Total reward: -200.0
Episode 428/2000 | Total reward: -200.0
Episode 429/2000 | Total reward: -200.0
Episode 430/2000 | Total reward: -200.0
Episode 431/2000 | Total reward: -200.0
Episode 432/2000 | Total reward: -200.0
Episode 433/2000 | Total reward: -200.0
Episode 434/2000 | Total reward: -200.0
Episode 435/2000 | Total reward: -200.0
Episode 436/2000 | Total reward: -200.0
Episode 437/2000 | Total reward: -200.0
Episode 438/2000 | Total reward: -200.0
Episode 439/2000 | Total reward: -200.0
Episode 440/2000 | Total reward: -200.0
Episode 441/2000 | Total reward: -200.0
Episode 442/2000 | Total reward: -200.0
Episode 443/2000 | Total reward: -200.0
Episode 444/2000 | Total reward: -200.0
Episode 445/2000 | Total reward: -200.0
Episode 446/2000 | Total reward: -200.0
Episode 447/2000 | Total reward: -200.0
Episode 448/2000 | Total reward: -200.0
Episode 449/2000 | Total reward: -200.0
Episode 450/2000 | Total reward: -200.0
Episode 451/2000 | Total reward: -200.0
Episode 452/2000 | Total reward: -200.0
Episode 453/2000 | Total reward: -200.0
Episode 454/2000 | Total reward: -200.0
Episode 455/2000 | Total reward: -200.0
Episode 456/2000 | Total reward: -200.0
Episode 457/2000 | Total reward: -200.0
Episode 458/2000 | Total reward: -194.0
Episode 459/2000 | Total reward: -200.0
Episode 460/2000 | Total reward: -200.0
Episode 461/2000 | Total reward: -200.0
Episode 462/2000 | Total reward: -200.0
Episode 463/2000 | Total reward: -200.0
Episode 464/2000 | Total reward: -200.0
Episode 465/2000 | Total reward: -200.0
Episode 466/2000 | Total reward: -200.0
Episode 467/2000 | Total reward: -200.0
Episode 468/2000 | Total reward: -200.0
Episode 469/2000 | Total reward: -200.0
Episode 470/2000 | Total reward: -200.0
Episode 471/2000 | Total reward: -200.0
Episode 472/2000 | Total reward: -200.0
Episode 473/2000 | Total reward: -200.0
Episode 474/2000 | Total reward: -200.0
Episode 475/2000 | Total reward: -200.0
Episode 476/2000 | Total reward: -200.0
Episode 477/2000 | Total reward: -200.0
Episode 478/2000 | Total reward: -200.0
Episode 479/2000 | Total reward: -200.0
Episode 480/2000 | Total reward: -200.0
Episode 481/2000 | Total reward: -200.0
Episode 482/2000 | Total reward: -200.0
Episode 483/2000 | Total reward: -200.0
Episode 484/2000 | Total reward: -200.0
Episode 485/2000 | Total reward: -200.0
Episode 486/2000 | Total reward: -200.0
Episode 487/2000 | Total reward: -200.0
Episode 488/2000 | Total reward: -200.0
Episode 489/2000 | Total reward: -200.0
Episode 490/2000 | Total reward: -200.0
Episode 491/2000 | Total reward: -200.0
Episode 492/2000 | Total reward: -200.0
Episode 493/2000 | Total reward: -200.0
Episode 494/2000 | Total reward: -200.0
Episode 495/2000 | Total reward: -200.0
Episode 496/2000 | Total reward: -200.0
Episode 497/2000 | Total reward: -200.0
Episode 498/2000 | Total reward: -200.0
Episode 499/2000 | Total reward: -200.0
Episode 500/2000 | Total reward: -200.0
Episode 501/2000 | Total reward: -200.0
Episode 502/2000 | Total reward: -200.0
Episode 503/2000 | Total reward: -200.0
Episode 504/2000 | Total reward: -200.0
Episode 505/2000 | Total reward: -200.0
Episode 506/2000 | Total reward: -200.0
Episode 507/2000 | Total reward: -200.0
Episode 508/2000 | Total reward: -200.0
Episode 509/2000 | Total reward: -200.0
Episode 510/2000 | Total reward: -200.0
Episode 511/2000 | Total reward: -200.0
Episode 512/2000 | Total reward: -195.0
Episode 513/2000 | Total reward: -138.0
Episode 514/2000 | Total reward: -175.0
Episode 515/2000 | Total reward: -135.0
Episode 516/2000 | Total reward: -130.0
Episode 517/2000 | Total reward: -169.0
Episode 518/2000 | Total reward: -200.0
Episode 519/2000 | Total reward: -181.0
Episode 520/2000 | Total reward: -137.0
Episode 521/2000 | Total reward: -131.0
Episode 522/2000 | Total reward: -137.0
Episode 523/2000 | Total reward: -188.0
Episode 524/2000 | Total reward: -138.0
Episode 525/2000 | Total reward: -200.0
Episode 526/2000 | Total reward: -198.0
Episode 527/2000 | Total reward: -147.0
Episode 528/2000 | Total reward: -177.0
Episode 529/2000 | Total reward: -141.0
Episode 530/2000 | Total reward: -177.0
Episode 531/2000 | Total reward: -138.0
Episode 532/2000 | Total reward: -140.0
Episode 533/2000 | Total reward: -178.0
Episode 534/2000 | Total reward: -129.0
Episode 535/2000 | Total reward: -176.0
Episode 536/2000 | Total reward: -135.0
Episode 537/2000 | Total reward: -170.0
Episode 538/2000 | Total reward: -200.0
Episode 539/2000 | Total reward: -184.0
Episode 540/2000 | Total reward: -140.0
Episode 541/2000 | Total reward: -176.0
Episode 542/2000 | Total reward: -159.0
Episode 543/2000 | Total reward: -200.0
Episode 544/2000 | Total reward: -185.0
Episode 545/2000 | Total reward: -140.0
Episode 546/2000 | Total reward: -170.0
Episode 547/2000 | Total reward: -147.0
Episode 548/2000 | Total reward: -200.0
Episode 549/2000 | Total reward: -200.0
Episode 550/2000 | Total reward: -200.0
Episode 551/2000 | Total reward: -200.0
Episode 552/2000 | Total reward: -187.0
Episode 553/2000 | Total reward: -134.0
Episode 554/2000 | Total reward: -137.0
Episode 555/2000 | Total reward: -131.0
Episode 556/2000 | Total reward: -125.0
Episode 557/2000 | Total reward: -174.0
Episode 558/2000 | Total reward: -134.0
Episode 559/2000 | Total reward: -167.0
Episode 560/2000 | Total reward: -135.0
Episode 561/2000 | Total reward: -123.0
Episode 562/2000 | Total reward: -174.0
Episode 563/2000 | Total reward: -132.0
Episode 564/2000 | Total reward: -178.0
Episode 565/2000 | Total reward: -137.0
Episode 566/2000 | Total reward: -169.0
Episode 567/2000 | Total reward: -137.0
Episode 568/2000 | Total reward: -200.0
Episode 569/2000 | Total reward: -200.0
Episode 570/2000 | Total reward: -200.0
Episode 571/2000 | Total reward: -200.0
Episode 572/2000 | Total reward: -186.0
Episode 573/2000 | Total reward: -200.0
Episode 574/2000 | Total reward: -200.0
Episode 575/2000 | Total reward: -200.0
Episode 576/2000 | Total reward: -200.0
Episode 577/2000 | Total reward: -200.0
Episode 578/2000 | Total reward: -200.0
Episode 579/2000 | Total reward: -200.0
Episode 580/2000 | Total reward: -200.0
Episode 581/2000 | Total reward: -200.0
Episode 582/2000 | Total reward: -200.0
Episode 583/2000 | Total reward: -200.0
Episode 584/2000 | Total reward: -200.0
Episode 585/2000 | Total reward: -200.0
Episode 586/2000 | Total reward: -200.0
Episode 587/2000 | Total reward: -200.0
Episode 588/2000 | Total reward: -200.0
Episode 589/2000 | Total reward: -200.0
Episode 590/2000 | Total reward: -173.0
Episode 591/2000 | Total reward: -135.0
Episode 592/2000 | Total reward: -127.0
Episode 593/2000 | Total reward: -165.0
Episode 594/2000 | Total reward: -133.0
Episode 595/2000 | Total reward: -171.0
Episode 596/2000 | Total reward: -136.0
Episode 597/2000 | Total reward: -107.0
Episode 598/2000 | Total reward: -173.0
Episode 599/2000 | Total reward: -132.0
Episode 600/2000 | Total reward: -176.0
Episode 601/2000 | Total reward: -149.0
Episode 602/2000 | Total reward: -173.0
Episode 603/2000 | Total reward: -199.0
Episode 604/2000 | Total reward: -140.0
Episode 605/2000 | Total reward: -176.0
Episode 606/2000 | Total reward: -130.0
Episode 607/2000 | Total reward: -174.0
Episode 608/2000 | Total reward: -132.0
Episode 609/2000 | Total reward: -128.0
Episode 610/2000 | Total reward: -174.0
Episode 611/2000 | Total reward: -198.0
Episode 612/2000 | Total reward: -138.0
Episode 613/2000 | Total reward: -178.0
Episode 614/2000 | Total reward: -128.0
Episode 615/2000 | Total reward: -174.0
Episode 616/2000 | Total reward: -135.0
Episode 617/2000 | Total reward: -131.0
Episode 618/2000 | Total reward: -158.0
Episode 619/2000 | Total reward: -126.0
Episode 620/2000 | Total reward: -172.0
Episode 621/2000 | Total reward: -190.0
Episode 622/2000 | Total reward: -132.0
Episode 623/2000 | Total reward: -182.0
Episode 624/2000 | Total reward: -132.0
Episode 625/2000 | Total reward: -168.0
Episode 626/2000 | Total reward: -132.0
Episode 627/2000 | Total reward: -126.0
Episode 628/2000 | Total reward: -173.0
Episode 629/2000 | Total reward: -127.0
Episode 630/2000 | Total reward: -176.0
Episode 631/2000 | Total reward: -124.0
Episode 632/2000 | Total reward: -169.0
Episode 633/2000 | Total reward: -130.0
Episode 634/2000 | Total reward: -171.0
Episode 635/2000 | Total reward: -169.0
Episode 636/2000 | Total reward: -122.0
Episode 637/2000 | Total reward: -169.0
Episode 638/2000 | Total reward: -121.0
Episode 639/2000 | Total reward: -171.0
Episode 640/2000 | Total reward: -122.0
Episode 641/2000 | Total reward: -169.0
Episode 642/2000 | Total reward: -132.0
Episode 643/2000 | Total reward: -123.0
Episode 644/2000 | Total reward: -175.0
Episode 645/2000 | Total reward: -130.0
Episode 646/2000 | Total reward: -125.0
Episode 647/2000 | Total reward: -170.0
Episode 648/2000 | Total reward: -127.0
Episode 649/2000 | Total reward: -197.0
Episode 650/2000 | Total reward: -193.0
Episode 651/2000 | Total reward: -133.0
Episode 652/2000 | Total reward: -164.0
Episode 653/2000 | Total reward: -191.0
Episode 654/2000 | Total reward: -135.0
Episode 655/2000 | Total reward: -170.0
Episode 656/2000 | Total reward: -133.0
Episode 657/2000 | Total reward: -166.0
Episode 658/2000 | Total reward: -129.0
Episode 659/2000 | Total reward: -163.0
Episode 660/2000 | Total reward: -195.0
Episode 661/2000 | Total reward: -130.0
Episode 662/2000 | Total reward: -126.0
Episode 663/2000 | Total reward: -126.0
Episode 664/2000 | Total reward: -169.0
Episode 665/2000 | Total reward: -187.0
Episode 666/2000 | Total reward: -196.0
Episode 667/2000 | Total reward: -137.0
Episode 668/2000 | Total reward: -127.0
Episode 669/2000 | Total reward: -163.0
Episode 670/2000 | Total reward: -189.0
Episode 671/2000 | Total reward: -188.0
Episode 672/2000 | Total reward: -127.0
