Episode 468/1000 | Total reward: -200.0
Episode 469/1000 | Total reward: -139.0
Episode 470/1000 | Total reward: -200.0
Episode 471/1000 | Total reward: -200.0
Episode 472/1000 | Total reward: -200.0
Episode 473/1000 | Total reward: -200.0
Episode 474/1000 | Total reward: -200.0
Episode 475/1000 | Total reward: -200.0
Episode 476/1000 | Total reward: -200.0
Episode 477/1000 | Total reward: -200.0
Episode 478/1000 | Total reward: -200.0
Episode 479/1000 | Total reward: -200.0
Episode 480/1000 | Total reward: -200.0
Episode 481/1000 | Total reward: -200.0
Episode 482/1000 | Total reward: -200.0
Episode 483/1000 | Total reward: -200.0
Episode 484/1000 | Total reward: -200.0
Episode 485/1000 | Total reward: -200.0
Episode 486/1000 | Total reward: -200.0
Episode 487/1000 | Total reward: -189.0
Episode 488/1000 | Total reward: -140.0
Episode 489/1000 | Total reward: -200.0
Episode 490/1000 | Total reward: -200.0
Episode 491/1000 | Total reward: -175.0
Episode 492/1000 | Total reward: -200.0
Episode 493/1000 | Total reward: -171.0
Episode 494/1000 | Total reward: -200.0
Episode 495/1000 | Total reward: -173.0
Episode 496/1000 | Total reward: -200.0
Episode 497/1000 | Total reward: -200.0
Episode 498/1000 | Total reward: -200.0
Episode 499/1000 | Total reward: -178.0
Episode 500/1000 | Total reward: -200.0
Episode 501/1000 | Total reward: -178.0
Episode 502/1000 | Total reward: -132.0
Episode 503/1000 | Total reward: -200.0
Episode 504/1000 | Total reward: -178.0
Episode 505/1000 | Total reward: -131.0
Episode 506/1000 | Total reward: -186.0
Episode 507/1000 | Total reward: -135.0
Episode 508/1000 | Total reward: -127.0
Episode 509/1000 | Total reward: -127.0
Episode 510/1000 | Total reward: -190.0
Episode 511/1000 | Total reward: -124.0
Episode 512/1000 | Total reward: -200.0
Episode 513/1000 | Total reward: -195.0
Episode 514/1000 | Total reward: -126.0
Episode 515/1000 | Total reward: -132.0
Episode 516/1000 | Total reward: -191.0
Episode 517/1000 | Total reward: -127.0
Episode 518/1000 | Total reward: -193.0
Episode 519/1000 | Total reward: -196.0
Episode 520/1000 | Total reward: -130.0
Episode 521/1000 | Total reward: -126.0
Episode 522/1000 | Total reward: -193.0
Episode 523/1000 | Total reward: -126.0
Episode 524/1000 | Total reward: -124.0
Episode 525/1000 | Total reward: -181.0
Episode 526/1000 | Total reward: -193.0
Episode 527/1000 | Total reward: -200.0
Episode 528/1000 | Total reward: -128.0
Episode 529/1000 | Total reward: -192.0
