Episode 324/5000 | Total reward: -200.0
Episode 325/5000 | Total reward: -200.0
Episode 326/5000 | Total reward: -200.0
Episode 327/5000 | Total reward: -200.0
Episode 328/5000 | Total reward: -200.0
Episode 329/5000 | Total reward: -200.0
Episode 330/5000 | Total reward: -200.0
Episode 331/5000 | Total reward: -200.0
Episode 332/5000 | Total reward: -200.0
Episode 333/5000 | Total reward: -200.0
Episode 334/5000 | Total reward: -200.0
Episode 335/5000 | Total reward: -200.0
Episode 336/5000 | Total reward: -200.0
Episode 337/5000 | Total reward: -200.0
Episode 338/5000 | Total reward: -200.0
Episode 339/5000 | Total reward: -200.0
Episode 340/5000 | Total reward: -200.0
Episode 341/5000 | Total reward: -200.0
Episode 342/5000 | Total reward: -200.0
Episode 343/5000 | Total reward: -200.0
Episode 344/5000 | Total reward: -200.0
Episode 345/5000 | Total reward: -200.0
Episode 346/5000 | Total reward: -200.0
Episode 347/5000 | Total reward: -200.0
Episode 348/5000 | Total reward: -200.0
Episode 349/5000 | Total reward: -200.0
Episode 350/5000 | Total reward: -200.0
Episode 351/5000 | Total reward: -200.0
Episode 352/5000 | Total reward: -200.0
Episode 353/5000 | Total reward: -200.0
Episode 354/5000 | Total reward: -200.0
Episode 355/5000 | Total reward: -200.0
Episode 356/5000 | Total reward: -200.0
Episode 357/5000 | Total reward: -200.0
Episode 358/5000 | Total reward: -200.0
Episode 359/5000 | Total reward: -200.0
Episode 360/5000 | Total reward: -200.0
Episode 361/5000 | Total reward: -200.0
Episode 362/5000 | Total reward: -200.0
Episode 363/5000 | Total reward: -200.0
Episode 364/5000 | Total reward: -200.0
Episode 365/5000 | Total reward: -200.0
Episode 366/5000 | Total reward: -200.0
Episode 367/5000 | Total reward: -200.0
Episode 368/5000 | Total reward: -200.0
Episode 369/5000 | Total reward: -200.0
Episode 370/5000 | Total reward: -200.0
Episode 371/5000 | Total reward: -200.0
Episode 372/5000 | Total reward: -200.0
Episode 373/5000 | Total reward: -200.0
Episode 374/5000 | Total reward: -200.0
Episode 375/5000 | Total reward: -200.0
Episode 376/5000 | Total reward: -200.0
Episode 377/5000 | Total reward: -200.0
Episode 378/5000 | Total reward: -200.0
Episode 379/5000 | Total reward: -200.0
Episode 380/5000 | Total reward: -200.0
Episode 381/5000 | Total reward: -200.0
Episode 382/5000 | Total reward: -200.0
Episode 383/5000 | Total reward: -200.0
Episode 384/5000 | Total reward: -200.0
Episode 385/5000 | Total reward: -200.0
Episode 386/5000 | Total reward: -200.0
Episode 387/5000 | Total reward: -200.0
Episode 388/5000 | Total reward: -200.0
Episode 389/5000 | Total reward: -200.0
Episode 390/5000 | Total reward: -200.0
